state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
3,3,0,0,0,1,1,0,300.360242
4,3,0,0,0,0,0,1,281.269571
2,3,0,1,0,0,0,0,284.075757
0,2,1,1,0,0,0,3,278.287459
0,1,1,1,1,0,0,2,286.694096
0,2,1,1,0,0,0,2,288.398762
0,3,1,1,1,0,0,3,304.521975
0,1,1,1,1,0,0,3,268.413054
0,0,1,1,0,1,0,2,274.276535
0,3,0,1,1,0,0,3,295.295619
4,5,1,0,0,0,1,0,314.729162
5,5,1,0,0,1,0,1,298.386967
5,5,1,0,0,1,0,2,299.726117
5,6,1,1,1,0,0,2,311.927559
5,7,1,0,0,0,1,0,329.507157
6,7,1,0,0,1,0,0,347.903311
7,6,0,1,0,0,0,0,333.819519
8,6,0,0,0,0,0,0,352.376485
9,6,0,0,0,0,0,3,354.720811
10,5,0,0,0,0,0,0,367.4375
11,5,0,0,0,0,1,0,357.883609
12,5,0,0,0,0,0,3,353.231176
12,4,0,0,1,0,0,3,341.523572
12,3,0,1,0,0,0,3,359.282415
12,2,0,0,1,0,0,3,374.985291
12,1,0,1,0,0,0,3,395.646481
12,0,1,0,0,1,0,0,357.171367
13,0,1,0,0,1,0,0,335.964218
14,0,1,0,0,1,0,0,346.208669
15,0,1,0,0,1,0,2,365.582926
15,1,0,0,0,0,1,3,304.393019
15,0,0,0,0,1,0,1,322.77848
14,0,0,0,0,1,0,1,340.852571
13,0,0,0,0,1,0,1,348.341823
12,0,0,0,0,1,0,0,340.888826
12,0,0,0,0,1,0,1,366.20478
11,0,0,0,0,1,1,1,382.743231
10,0,0,0,0,1,0,1,365.605545
9,0,0,0,0,1,0,1,352.825587
8,0,0,0,0,1,0,1,334.707399
7,0,0,0,0,1,1,1,318.451881
6,0,0,0,0,1,0,1,302.394203
5,0,0,0,0,1,0,2,315.014964
5,1,0,0,0,0,1,1,306.635417
4,1,0,0,0,0,0,1,280.786925
3,1,0,0,0,0,1,3,272.423873
3,0,0,0,0,1,0,1,282.170243
2,0,0,0,0,1,0,1,295.4607
0,0,0,1,0,1,0,2,271.444827
0,1,0,1,1,0,0,2,281.693643
0,5,0,1,0,0,0,2,258.402689
0,6,0,1,1,0,0,2,268.858453
0,8,0,1,0,0,0,3,281.332921
0,8,0,1,0,0,0,2,285.081818
0,9,0,1,0,0,0,0,300.78766
1,9,0,0,0,0,0,1,284.807504
